"resample","model","Variable","Importance","importance_scaled"
"Fold02.Rep01","RF","Weight_reduction_last_2_y",-0.000185699419101162,0.0524372135942379
"Fold02.Rep01","RF","Weight_increase_last_2_y",-0.000532190651664429,0.0306476482665522
"Fold02.Rep01","RF","Current_daily_smoker",0.00462217574689085,0.354786884152242
"Fold02.Rep01","RF","More_Smoking",-0.000294556297924478,0.0455916029421545
"Fold02.Rep01","RF","Less_Smoking",0.000574623428692753,0.100251134424435
"Fold02.Rep01","XGB","Age",0.658579118449087,1
"Fold02.Rep01","XGB","Current_daily_smoker",0.189221747770976,0.287318170999076
"Fold02.Rep01","XGB","Living_alone",0.110063105914186,0.167122070577303
"Fold02.Rep01","XGB","Antibiotics_last_2_y",0.0153917951780575,0.0233712165279462
"Fold02.Rep01","XGB","Cold_flu_pneumonia_last_2_y",0.0110444632096105,0.016770138773333
"Fold02.Rep01","XGB","University_education",0.0056492560563719,0.00857794591130607
"Fold02.Rep01","XGB","No_comorbidities",0.0050465288194704,0.0076627525503005
"Fold02.Rep01","XGB","Sex",0.00500398460224107,0.00759815254092043
"Fold02.Rep01","XGB","Born_in_sweden",0,0
"Fold02.Rep01","XGB","Asthma",0,0
"Fold02.Rep01","XGB","Emphysema",0,0
"Fold02.Rep01","XGB","Asbestos",0,0
"Fold02.Rep01","XGB","Chronic_bronchitis",0,0
"Fold02.Rep01","XGB","COPD",0,0
"Fold02.Rep01","XGB","Pleural_fluid",0,0
"Fold02.Rep01","XGB","Anemia",0,0
"Fold02.Rep01","XGB","Heart_disease",0,0
"Fold02.Rep01","XGB","Angina_pectoris",0,0
"Fold02.Rep01","XGB","Pneumonia",0,0
"Fold02.Rep01","XGB","Weight_reduction_last_2_y",0,0
"Fold02.Rep01","XGB","Weight_increase_last_2_y",0,0
"Fold02.Rep01","XGB","More_Smoking",0,0
"Fold02.Rep01","XGB","Less_Smoking",0,0
"Fold03.Rep01","RLR","Age",0.362490765406878,0.527120659773139
"Fold03.Rep01","RLR","Sex",0.223836473627434,0.325494718540895
"Fold03.Rep01","RLR","Living_alone",0.151487214890316,0.220287103232957
"Fold03.Rep01","RLR","University_education",0,0
"Fold03.Rep01","RLR","Born_in_sweden",0,0
"Fold03.Rep01","RLR","Cold_flu_pneumonia_last_2_y",0.159749412416274,0.23230168519388
"Fold03.Rep01","RLR","Antibiotics_last_2_y",0,0
"Fold03.Rep01","RLR","Asthma",0.224608525617074,0.326617407980175
"Fold03.Rep01","RLR","Emphysema",0.209651259208471,0.304867104551463
"Fold03.Rep01","RLR","Asbestos",0,0
"Fold03.Rep01","RLR","Chronic_bronchitis",0,0
"Fold03.Rep01","RLR","COPD",0,0
"Fold03.Rep01","RLR","Pleural_fluid",0.042355150065481,0.0615912921871168
"Fold03.Rep01","RLR","Anemia",0.0439949798215541,0.0639758719486637
"Fold03.Rep01","RLR","Heart_disease",0,0
