"model","Variable","n_total","n_pos_contr","freq_pos_contr","median_rank","freq_top10","mean_importance","sd_importance","median_importance","se","ci_lower","ci_upper"
"RF","Increased_amount_of_phlegm_expectorates",100,48,0.48,45,0.04,-0.00108990350877194,0.00949742725833185,-2.36963226818432e-17,0.000949742725833185,-0.00297439912501604,0.000794592107472157
"RF","Pain_in_shoulders",100,38,0.38,50,0,-0.00109621052631579,0.00389108634196051,0,0.000389108634196051,-0.00186828647429623,-0.000324134578335345
"RF","Feeling_pressure",100,36,0.36,51.5,0.02,-0.00110140977443609,0.00464110873683624,-0.000260651629072669,0.000464110873683624,-0.00202230643741472,-0.00018051311145746
"RF","Discomfort_sensation",100,33,0.33,54,0,-0.00121553383458647,0.0039431808897395,-0.000616541353383456,0.00039431808897395,-0.00199794647104574,-0.000433121198127195
"RF","Hard_to_get_air",100,50,0.5,44,0.09,-0.00123003007518797,0.0113833165959947,3.7593984962423e-05,0.00113833165959947,-0.00348872705069273,0.00102866690031679
"RF","Pain_persists_worsens_when_breathing",100,29,0.29,51.5,0,-0.00125738345864661,0.00342125010368634,-0.000145363408521299,0.000342125010368634,-0.00193623370378174,-0.000578533213511493
"RF","Feeling_of_uneasiness_difficult_to_describe",100,36,0.36,51.5,0,-0.00131107518796993,0.00499948345845407,-0.00046140350877195,0.000499948345845407,-0.00230308117071397,-0.000319069205225879
"RF","Difficulty_to_stay_awake",100,34,0.34,50.5,0,-0.00136802506265664,0.00332071107952173,-0.000387969924812036,0.000332071107952173,-0.00202692618418742,-0.000709123941125855
"RF","Felt_abnormally_unhealthily_tires",100,33,0.33,56.5,0,-0.00169273057644111,0.00502382270849131,-0.000654135338345914,0.000502382270849132,-0.00268956599443643,-0.000695895158445782
"RF","Fever",100,46,0.46,46,0,-0.0017054649122807,0.00720505592589485,0,0.000720505592589485,-0.00313510432280957,-0.000275825501751822
"RF","Night_sweats",100,43,0.43,56,0.01,-0.00174304887218045,0.00680334512315421,-0.000526315789473667,0.000680334512315421,-0.00309298014426598,-0.00039311760009491
"RF","Breathing_sound_rattled_wheezed",100,42,0.42,53,0.01,-0.00176850375939849,0.0059026001060198,-0.00068546365914787,0.00059026001060198,-0.00293970767827852,-0.000597299840518468
"RF","Swollen_tender_joints",100,41,0.41,55,0.02,-0.00213475438596491,0.0073692408156962,-0.000432330827067617,0.00073692408156962,-0.00359697164064761,-0.000672537131282223
